artist id,artist name,id,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time signature,duration,loudness,audio md5,valence,danceability,title,
ARTDQRC1187FB4EFD4,The Black Eyed Peas,SONHTAW144BE5D96DD,9,0.835209,0.200497,130.031,0.083299,0.117739,0.004452,1,4,218.87955,-6.048,a15b64de7ff8899dc8a99416a8911433,0.37069,0.887513,Boom Boom Pow,
ARTYXQC1187B9ACAB2,Shaggy,SOYLDMJ13EB2030B6B,8,0.777971,0.100521,163.132,0.276334,0.265787,0.000318,1,4,217.29288,-9.897,5519550958d4b30caac9ba064b6a084c,0.798538,0.851831,Boombastic,
ARKWI7M1187B9B7713,Destiny's Child,SOHOGBZ1450C71317D,1,0.832905,0.170829,103.358,0.283846,0.00247,1.00E-06,0,4,207.73333,-4.364,,0.588426,0.834889,Bootylicious,
AR91C8S1187B990901,Bruce Springsteen,SOUAGKU13F605BE2D9,11,0.967189,0.968616,120.556,0.084589,0.050322,1.00E-06,1,4,356.73288,-4.058,86b5c4f715ac107f96a362b401f97c84,0.13292,0.227112,Born In The USA,
ARX6TAQ11C8A415850,Lady Gaga,SOKQHDP148624CEF5A,9,0.656818,0.370269,128.023,0.052636,0.003479,0.128517,0,4,277.60281,-16.443,24d60fd1ac6dca8535aae623931ba32f,0.477027,0.408596,Born This Way Remix,
ARDVZTE1187FB5A0A1,Bon Jovi,SOGCWPT144BD4258E5,7,0.973342,0.379608,131.32,0.036859,0.002347,0,1,4,280.09288,-2.908,a648cd603c4f8c8b46a382ff83c3fe81,0.739717,0.534205,Born To Be My Baby,
ARL60FF1187B9AE52D,Trey Songz,SOBUJYP13AD1A7C3B4,9,0.352915,0.097528,76.313,0.127648,0.013274,0,1,4,161.48853,-13.032,243333f7d9886414a24e089a432f5b10,0.38509,0.8336,Bottoms Up,
ARV3CRH1187B9A1B21,Green Day,SOKASOJ14788CFFF40,8,0.812093,0.29977,167.062,0.036012,0.000582,3.00E-06,1,4,493.42649,-3.482,70e303f55c58d4a850c9657406c63ace,0.476909,0.288629,Holiday/Boulevard Of Broken Dreams,
ARFCWSZ123526A0AFD,Justin Bieber,SOZJBAW13E6798B2D4,5,0.956399,0.334641,110.022,0.174093,0.019207,0.000228,0,4,224.14621,-4.75,5e4a0a4887b1a74150113af9690e346d,0.597187,0.648107,Boyfriend,
ARKU3Z61187FB51DCA,Rihanna,SOTIDZJ12A8AE1A71B,10,0.729158,0.051625,133.948,0.223329,0.015988,0,0,4,213.37333,-5.318,,0.815594,0.899258,Break It Off,
